#Device Placement File
Env length = 900.0
Step = 0.4
Simulation time = 100
Number of device placed = 20
#Device_Number (X-Pos, Y-Pos)
1 0.0 (498.4, 216.52965394370258)
2 1.0 (568.1894319584593, 1.6)
3 10.0 (501.6, 811.0930384607987)
4 11.0 (350.7322907758877, 701.6)
5 12.0 (457.70013053882866, 298.4)
6 13.0 (210.93317301534114, 298.4)
7 14.0 (98.4, 129.17716826424004)
8 15.0 (428.3860440108925, 298.4)
9 16.0 (546.1244403751567, 801.6)
10 17.0 (698.4, 329.01777464877813)
11 18.0 (207.71660364065318, 898.4)
12 19.0 (98.4, 735.1908659921959)
13 2.0 (301.6, 147.10371458213777)
14 20.0 (454.09924574736505, 601.6)
15 21.0 (501.6, 455.67319368142637)
16 22.0 (298.4, 670.1574729366228)
17 23.0 (12.358016352914273, 498.4)
18 24.0 (798.4, 317.85002271216365)
19 25.0 (334.7601212602109, 98.4)
20 26.0 (465.7167341612279, 798.4)
