#RoadsPlacement
133 (298.4,692.8,298.4,607.2) 
134 (301.6,707.2,301.6,792.8) 
135 (307.2,698.4,392.8,698.4) 
136 (292.8,801.6,207.2,801.6) 
137 (298.4,792.8,298.4,707.2) 
138 (301.6,807.2,301.6,892.8) 
139 (307.2,798.4,392.8,798.4) 
140 (292.8,901.6,207.2,901.6) 
141 (298.4,892.8,298.4,807.2) 
142 (307.2,898.4,392.8,898.4) 
143 (392.8,1.6,307.2,1.6) 
144 (401.6,7.2,401.6,92.8) 
145 (407.2,1.6,492.8,1.6) 
146 (392.8,101.6,307.2,101.6) 
147 (398.4,92.8,398.4,7.2) 
148 (401.6,107.2,401.6,192.8) 
149 (407.2,98.4,492.8,98.4) 
150 (392.8,201.6,307.2,201.6) 
151 (398.4,192.8,398.4,107.2) 
152 (401.6,207.2,401.6,292.8) 
153 (407.2,198.4,492.8,198.4) 
154 (392.8,301.6,307.2,301.6) 
155 (398.4,292.8,398.4,207.2) 
156 (401.6,307.2,401.6,392.8) 
157 (407.2,298.4,492.8,298.4) 
158 (392.8,401.6,307.2,401.6) 
159 (398.4,392.8,398.4,307.2) 
160 (401.6,407.2,401.6,492.8) 
161 (407.2,398.4,492.8,398.4) 
162 (392.8,501.6,307.2,501.6) 
163 (398.4,492.8,398.4,407.2) 
164 (401.6,507.2,401.6,592.8) 
165 (407.2,498.4,492.8,498.4) 
166 (392.8,601.6,307.2,601.6) 
167 (398.4,592.8,398.4,507.2) 
168 (401.6,607.2,401.6,692.8) 
169 (407.2,598.4,492.8,598.4) 
170 (392.8,701.6,307.2,701.6) 
171 (398.4,692.8,398.4,607.2) 
172 (401.6,707.2,401.6,792.8) 
173 (407.2,698.4,492.8,698.4) 
174 (392.8,801.6,307.2,801.6) 
175 (398.4,792.8,398.4,707.2) 
176 (401.6,807.2,401.6,892.8) 
177 (407.2,798.4,492.8,798.4) 
178 (392.8,901.6,307.2,901.6) 
179 (398.4,892.8,398.4,807.2) 
180 (407.2,898.4,492.8,898.4) 
181 (492.8,1.6,407.2,1.6) 
182 (501.6,7.2,501.6,92.8) 
183 (507.2,1.6,592.8,1.6) 
184 (492.8,101.6,407.2,101.6) 
185 (498.4,92.8,498.4,7.2) 
186 (501.6,107.2,501.6,192.8) 
187 (507.2,98.4,592.8,98.4) 
188 (492.8,201.6,407.2,201.6) 
189 (498.4,192.8,498.4,107.2) 
190 (501.6,207.2,501.6,292.8) 
191 (507.2,198.4,592.8,198.4) 
192 (492.8,301.6,407.2,301.6) 
193 (498.4,292.8,498.4,207.2) 
194 (501.6,307.2,501.6,392.8) 
195 (507.2,298.4,592.8,298.4) 
196 (492.8,401.6,407.2,401.6) 
197 (498.4,392.8,498.4,307.2) 
198 (501.6,407.2,501.6,492.8) 
199 (507.2,398.4,592.8,398.4) 
200 (492.8,501.6,407.2,501.6) 
201 (498.4,492.8,498.4,407.2) 
202 (501.6,507.2,501.6,592.8) 
203 (507.2,498.4,592.8,498.4) 
204 (492.8,601.6,407.2,601.6) 
205 (498.4,592.8,498.4,507.2) 
206 (501.6,607.2,501.6,692.8) 
207 (507.2,598.4,592.8,598.4) 
208 (492.8,701.6,407.2,701.6) 
209 (498.4,692.8,498.4,607.2) 
210 (501.6,707.2,501.6,792.8) 
211 (507.2,698.4,592.8,698.4) 
212 (492.8,801.6,407.2,801.6) 
213 (498.4,792.8,498.4,707.2) 
214 (501.6,807.2,501.6,892.8) 
215 (507.2,798.4,592.8,798.4) 
216 (492.8,901.6,407.2,901.6) 
217 (498.4,892.8,498.4,807.2) 
218 (507.2,898.4,592.8,898.4) 
219 (592.8,1.6,507.2,1.6) 
220 (601.6,7.2,601.6,92.8) 
221 (607.2,1.6,692.8,1.6) 
222 (592.8,101.6,507.2,101.6) 
223 (598.4,92.8,598.4,7.2) 
224 (601.6,107.2,601.6,192.8) 
225 (607.2,98.4,692.8,98.4) 
226 (592.8,201.6,507.2,201.6) 
227 (598.4,192.8,598.4,107.2) 
228 (601.6,207.2,601.6,292.8) 
229 (607.2,198.4,692.8,198.4) 
